User-Time,System-Time,Elapsed-Time,CPU-Usage,Compacted-File-Size
78.27,1.25,0:55.86,142%,3815785
78.21,1.26,0:33.36,238%,3815785
79.26,1.01,0:33.95,236%,3815785
79.24,1.00,0:33.91,236%,3815785
79.66,0.95,0:34.24,235%,3815785
79.44,1.05,0:34.22,235%,3815785
79.20,0.97,0:33.96,236%,3815785
79.35,0.99,0:34.03,236%,3815785
80.11,1.03,0:34.39,235%,3815785
78.63,1.07,0:33.75,236%,3815785
80.06,1.06,0:34.31,236%,3815785
78.88,1.18,0:33.99,235%,3815785
78.99,1.07,0:33.70,237%,3815785
79.17,0.98,0:33.97,235%,3815785
78.86,1.00,0:33.67,237%,3815785
79.26,1.02,0:34.02,235%,3815785
80.13,1.07,0:34.44,235%,3815785
79.86,0.95,0:34.30,235%,3815785
79.29,1.12,0:33.99,236%,3815785
79.31,1.01,0:33.68,238%,3815785
79.83,1.11,0:34.28,236%,3815785
79.14,0.93,0:33.78,237%,3815785
80.08,1.16,0:34.65,234%,3815785
78.79,1.03,0:33.79,236%,3815785
79.65,1.09,0:34.42,234%,3815785
80.46,1.06,0:34.82,234%,3815785
79.55,0.97,0:34.07,236%,3815785
79.29,1.06,0:34.00,236%,3815785
79.03,1.04,0:33.74,237%,3815785
79.63,1.13,0:34.10,236%,3815785
79.69,0.99,0:34.28,235%,3815785
78.96,1.06,0:33.89,236%,3815785
79.12,0.99,0:33.78,237%,3815785
80.43,1.03,0:34.62,235%,3815785
79.41,1.02,0:34.13,235%,3815785
79.97,0.99,0:34.32,235%,3815785
79.87,1.04,0:34.65,233%,3815785
79.93,0.90,0:34.27,235%,3815785
79.09,1.06,0:33.88,236%,3815785
79.53,1.11,0:34.08,236%,3815785
79.66,1.14,0:34.24,235%,3815785
79.21,1.00,0:33.97,236%,3815785
80.13,0.94,0:34.16,237%,3815785
78.61,1.08,0:33.62,237%,3815785
79.98,0.92,0:34.24,236%,3815785
79.18,1.09,0:33.97,236%,3815785
78.48,0.96,0:33.60,236%,3815785
79.44,0.93,0:34.03,236%,3815785
79.04,1.02,0:33.90,236%,3815785
79.39,1.00,0:34.07,235%,3815785
79.30,1.17,0:33.99,236%,3815785
79.16,0.98,0:33.91,236%,3815785
78.98,1.01,0:33.73,237%,3815785
78.79,1.00,0:33.82,235%,3815785
79.37,1.07,0:33.90,237%,3815785
78.46,1.06,0:33.54,237%,3815785
79.42,1.00,0:34.08,235%,3815785
79.95,0.96,0:34.52,234%,3815785
79.17,1.10,0:33.97,236%,3815785
79.38,0.98,0:33.78,237%,3815785
78.71,1.08,0:33.73,236%,3815785
79.53,1.02,0:34.05,236%,3815785
80.07,0.96,0:34.40,235%,3815785
79.26,1.04,0:33.97,236%,3815785
78.79,0.88,0:33.66,236%,3815785
79.92,0.95,0:34.03,237%,3815785
78.54,1.02,0:33.58,236%,3815785
78.62,1.07,0:33.63,236%,3815785
79.03,1.05,0:33.63,238%,3815785
80.03,1.02,0:34.60,234%,3815785
79.32,1.02,0:34.09,235%,3815785
79.24,1.08,0:34.27,234%,3815785
78.99,1.17,0:34.02,235%,3815785
79.39,0.90,0:34.24,234%,3815785
78.69,0.97,0:33.83,235%,3815785
78.34,1.08,0:33.59,236%,3815785
79.95,0.99,0:34.32,235%,3815785
78.53,1.06,0:33.44,238%,3815785
79.33,0.98,0:33.90,236%,3815785
78.99,1.04,0:33.85,236%,3815785
79.51,0.99,0:34.26,235%,3815785
78.98,1.04,0:33.96,235%,3815785
78.93,0.99,0:33.69,237%,3815785
79.32,1.01,0:33.87,237%,3815785
78.76,1.06,0:33.75,236%,3815785
78.52,1.07,0:33.24,239%,3815785
79.75,0.97,0:34.06,236%,3815785
79.53,1.03,0:34.22,235%,3815785
78.71,1.19,0:33.95,235%,3815785
79.85,0.93,0:34.18,236%,3815785
78.96,0.94,0:33.85,236%,3815785
79.38,1.08,0:34.10,235%,3815785
79.23,0.99,0:34.04,235%,3815785
80.25,1.04,0:35.07,231%,3815785
79.90,0.93,0:34.23,236%,3815785
78.57,1.00,0:33.61,236%,3815785
79.58,0.99,0:33.84,238%,3815785
79.39,1.11,0:34.14,235%,3815785
78.74,0.95,0:33.52,237%,3815785
79.01,1.05,0:33.94,235%,3815785
78.77,1.15,0:33.66,237%,3815785
78.95,1.07,0:33.88,236%,3815785
78.64,0.96,0:33.53,237%,3815785
78.77,1.04,0:33.71,236%,3815785
80.10,0.95,0:34.49,234%,3815785
79.32,1.09,0:34.06,236%,3815785
78.60,1.10,0:33.50,237%,3815785
79.80,1.00,0:34.42,234%,3815785
79.90,1.01,0:34.42,235%,3815785
79.62,1.14,0:34.37,234%,3815785
79.68,1.08,0:34.39,234%,3815785
