User-Time,System-Time,Elapsed-Time,CPU-Usage,Compacted-File-Size
5.17,0.53,0:05.91,96%,4708020
4.81,0.36,0:04.89,105%,4708020
4.80,0.35,0:04.95,104%,4708020
4.76,0.37,0:04.93,103%,4708020
4.83,0.31,0:04.94,104%,4708020
4.74,0.37,0:04.93,103%,4708020
4.78,0.34,0:04.90,104%,4708020
4.82,0.33,0:04.96,103%,4708020
4.75,0.38,0:04.94,104%,4708020
4.78,0.36,0:04.94,104%,4708020
4.74,0.40,0:04.95,103%,4708020
4.79,0.35,0:04.95,103%,4708020
4.79,0.37,0:04.97,103%,4708020
4.79,0.34,0:04.96,103%,4708020
4.79,0.35,0:04.95,103%,4708020
4.81,0.33,0:04.89,105%,4708020
4.78,0.36,0:04.96,103%,4708020
4.80,0.34,0:04.95,104%,4708020
4.79,0.36,0:04.96,103%,4708020
4.77,0.39,0:05.02,102%,4708020
4.80,0.35,0:04.98,103%,4708020
4.77,0.38,0:04.91,104%,4708020
4.78,0.37,0:04.96,103%,4708020
4.76,0.37,0:04.95,103%,4708020
4.76,0.35,0:04.88,104%,4708020
4.78,0.33,0:04.94,103%,4708020
4.78,0.35,0:04.95,103%,4708020
4.79,0.35,0:04.88,105%,4708020
4.77,0.38,0:04.95,104%,4708020
4.83,0.31,0:04.96,103%,4708020
4.74,0.40,0:04.94,104%,4708020
4.81,0.34,0:04.96,104%,4708020
4.82,0.35,0:04.96,104%,4708020
4.79,0.36,0:04.89,105%,4708020
4.80,0.34,0:04.95,104%,4708020
4.79,0.36,0:04.95,104%,4708020
4.81,0.34,0:04.96,104%,4708020
4.82,0.34,0:04.96,104%,4708020
4.78,0.37,0:04.95,104%,4708020
4.77,0.37,0:04.88,105%,4708020
4.76,0.38,0:04.94,104%,4708020
4.81,0.34,0:04.95,104%,4708020
4.78,0.36,0:04.88,105%,4708020
4.81,0.35,0:04.96,104%,4708020
4.81,0.34,0:04.96,103%,4708020
4.79,0.36,0:04.89,105%,4708020
4.76,0.37,0:04.95,103%,4708020
4.82,0.33,0:04.95,104%,4708020
4.77,0.37,0:04.95,103%,4708020
4.80,0.36,0:04.96,103%,4708020
4.78,0.35,0:04.94,103%,4708020
4.75,0.39,0:04.88,105%,4708020
4.82,0.33,0:04.96,103%,4708020
4.81,0.34,0:04.94,104%,4708020
4.75,0.38,0:04.94,104%,4708020
4.79,0.35,0:04.94,104%,4708020
4.78,0.36,0:04.94,104%,4708020
4.77,0.39,0:04.95,104%,4708020
4.80,0.37,0:04.94,104%,4708020
4.86,0.31,0:04.95,104%,4708020
4.77,0.37,0:04.94,104%,4708020
4.78,0.37,0:04.95,104%,4708020
4.79,0.34,0:04.94,104%,4708020
4.77,0.39,0:04.95,104%,4708020
4.80,0.34,0:04.93,104%,4708020
4.80,0.34,0:04.94,104%,4708020
4.79,0.36,0:04.95,104%,4708020
4.80,0.33,0:04.94,104%,4708020
4.80,0.35,0:04.95,103%,4708020
4.78,0.38,0:04.95,104%,4708020
4.79,0.35,0:04.93,104%,4708020
4.82,0.32,0:04.95,103%,4708020
4.74,0.39,0:04.94,104%,4708020
4.82,0.31,0:04.94,104%,4708020
4.77,0.35,0:04.95,103%,4708020
4.80,0.34,0:04.95,103%,4708020
4.78,0.33,0:04.91,104%,4708020
4.75,0.38,0:04.94,104%,4708020
4.82,0.34,0:04.96,104%,4708020
4.79,0.34,0:04.91,104%,4708020
4.80,0.33,0:04.94,104%,4708020
4.76,0.39,0:04.95,104%,4708020
4.79,0.37,0:04.92,104%,4708020
4.77,0.37,0:04.93,104%,4708020
4.84,0.33,0:04.96,104%,4708020
4.73,0.42,0:04.92,104%,4708020
4.81,0.33,0:04.94,104%,4708020
4.74,0.40,0:04.94,104%,4708020
4.77,0.37,0:04.88,105%,4708020
4.78,0.37,0:04.95,104%,4708020
4.79,0.36,0:04.94,104%,4708020
4.76,0.38,0:04.95,104%,4708020
4.75,0.39,0:04.94,104%,4708020
4.78,0.36,0:04.94,104%,4708020
4.76,0.39,0:04.89,105%,4708020
4.81,0.34,0:04.95,104%,4708020
4.78,0.37,0:04.96,103%,4708020
4.76,0.37,0:04.97,103%,4708020
4.75,0.38,0:04.94,103%,4708020
4.78,0.36,0:04.94,104%,4708020
4.76,0.37,0:04.88,105%,4708020
4.78,0.37,0:04.95,104%,4708020
4.80,0.36,0:04.95,104%,4708020
4.78,0.34,0:04.87,105%,4708020
4.79,0.34,0:04.94,104%,4708020
4.78,0.35,0:04.94,104%,4708020
4.76,0.36,0:04.87,105%,4708020
4.81,0.33,0:04.94,104%,4708020
4.80,0.35,0:04.94,104%,4708020
4.76,0.37,0:04.88,105%,4708020
4.79,0.34,0:04.93,104%,4708020
4.78,0.35,0:04.94,103%,4708020
4.72,0.41,0:04.88,105%,4708020
4.82,0.33,0:04.94,104%,4708020
4.76,0.36,0:04.93,103%,4708020
4.78,0.37,0:04.95,104%,4708020
4.78,0.38,0:04.95,104%,4708020
4.81,0.36,0:04.95,104%,4708020
4.77,0.38,0:04.89,105%,4708020
4.82,0.32,0:04.94,104%,4708020
4.81,0.34,0:04.93,104%,4708020
4.81,0.33,0:04.93,104%,4708020
4.75,0.40,0:04.94,104%,4708020
4.80,0.35,0:04.94,104%,4708020
4.78,0.38,0:04.95,104%,4708020
4.77,0.38,0:04.94,104%,4708020
4.78,0.37,0:04.94,104%,4708020
4.72,0.38,0:04.92,103%,4708020
4.76,0.38,0:04.94,103%,4708020
4.79,0.35,0:04.93,104%,4708020
4.77,0.38,0:04.93,104%,4708020
4.77,0.38,0:04.93,104%,4708020
4.77,0.38,0:04.95,104%,4708020
4.81,0.34,0:04.95,104%,4708020
4.77,0.37,0:04.93,104%,4708020
4.85,0.30,0:04.94,104%,4708020
4.77,0.37,0:04.93,104%,4708020
