User-Time,System-Time,Elapsed-Time,CPU-Usage,Compacted-File-Size
0.07,0.01,0:00.18,46%,74240
0.08,0.00,0:00.08,107%,74240
0.07,0.01,0:00.08,107%,74240
0.08,0.00,0:00.08,105%,74240
0.08,0.00,0:00.08,107%,74240
0.09,0.00,0:00.08,106%,74240
0.08,0.01,0:00.09,107%,74240
0.09,0.00,0:00.08,107%,74240
0.07,0.01,0:00.08,107%,74240
0.08,0.01,0:00.09,107%,74240
0.08,0.00,0:00.08,106%,74240
0.07,0.01,0:00.08,106%,74240
0.09,0.00,0:00.08,106%,74240
0.08,0.01,0:00.09,105%,74240
0.08,0.00,0:00.08,107%,74240
0.08,0.01,0:00.09,107%,74240
0.07,0.01,0:00.08,108%,74240
0.08,0.01,0:00.08,105%,74240
0.09,0.00,0:00.09,107%,74240
0.08,0.00,0:00.08,104%,74240
0.07,0.01,0:00.08,107%,74240
0.08,0.00,0:00.08,107%,74240
0.08,0.01,0:00.09,104%,74240
0.07,0.00,0:00.08,106%,74240
0.08,0.00,0:00.08,106%,74240
0.07,0.01,0:00.08,106%,74240
0.08,0.00,0:00.08,104%,74240
0.07,0.02,0:00.09,101%,74240
0.07,0.01,0:00.08,106%,74240
0.09,0.00,0:00.08,107%,74240
0.08,0.00,0:00.08,106%,74240
0.08,0.01,0:00.08,108%,74240
0.07,0.01,0:00.08,107%,74240
0.08,0.01,0:00.09,103%,74240
0.07,0.01,0:00.08,107%,74240
0.06,0.02,0:00.08,107%,74240
0.08,0.00,0:00.08,107%,74240
0.08,0.00,0:00.08,106%,74240
0.08,0.00,0:00.08,106%,74240
0.07,0.01,0:00.08,107%,74240
0.08,0.00,0:00.08,107%,74240
0.08,0.00,0:00.08,107%,74240
0.08,0.00,0:00.08,108%,74240
0.08,0.00,0:00.08,108%,74240
0.08,0.00,0:00.08,107%,74240
0.08,0.01,0:00.10,98%,74240
0.11,0.01,0:00.12,96%,74240
0.11,0.00,0:00.12,97%,74240
0.11,0.01,0:00.12,97%,74240
0.10,0.02,0:00.14,92%,74240
