User-Time,System-Time,Elapsed-Time,CPU-Usage,Compacted-File-Size
0.08,0.00,0:00.13,66%,74259
0.09,0.00,0:00.10,98%,74259
0.11,0.00,0:00.12,93%,74259
0.11,0.00,0:00.11,98%,74259
0.11,0.00,0:00.12,93%,74259
0.12,0.00,0:00.14,83%,74259
0.09,0.00,0:00.10,98%,74259
0.11,0.00,0:00.11,99%,74259
0.07,0.00,0:00.07,98%,74259
0.07,0.00,0:00.08,100%,74259
0.07,0.00,0:00.07,100%,74259
0.07,0.00,0:00.07,98%,74259
0.09,0.00,0:00.10,100%,74259
0.07,0.00,0:00.08,98%,74259
0.07,0.00,0:00.08,98%,74259
0.07,0.00,0:00.08,97%,74259
0.07,0.00,0:00.07,100%,74259
0.08,0.00,0:00.08,98%,74259
0.08,0.00,0:00.08,100%,74259
0.06,0.01,0:00.08,100%,74259
0.08,0.00,0:00.08,98%,74259
0.08,0.00,0:00.08,100%,74259
0.08,0.00,0:00.08,100%,74259
0.09,0.00,0:00.09,100%,74259
0.08,0.00,0:00.08,97%,74259
0.07,0.00,0:00.07,98%,74259
0.09,0.00,0:00.09,100%,74259
0.08,0.00,0:00.08,98%,74259
0.07,0.00,0:00.08,98%,74259
0.08,0.00,0:00.08,98%,74259
0.07,0.00,0:00.08,98%,74259
0.07,0.00,0:00.07,100%,74259
0.09,0.00,0:00.09,100%,74259
0.07,0.00,0:00.08,96%,74259
0.08,0.00,0:00.08,100%,74259
0.07,0.00,0:00.08,100%,74259
0.08,0.00,0:00.08,98%,74259
0.07,0.00,0:00.07,98%,74259
0.08,0.00,0:00.08,98%,74259
0.08,0.00,0:00.08,100%,74259
0.08,0.00,0:00.09,100%,74259
0.07,0.00,0:00.08,98%,74259
0.07,0.00,0:00.08,98%,74259
0.08,0.00,0:00.08,100%,74259
0.08,0.00,0:00.08,98%,74259
0.08,0.00,0:00.08,100%,74259
0.07,0.00,0:00.08,98%,74259
0.08,0.00,0:00.08,100%,74259
0.08,0.00,0:00.08,100%,74259
0.07,0.00,0:00.07,98%,74259
